Expense Description,From,To,Monthly,Annual,Total in USD
Mastodon server - Contabo L,2022-01-01,2022-05-02,-19.99,,-80.63
Mastodon server - Contabo XL,2022-05-03,2022-06-05,-34.99,,-38.49
Mastodon server - Hetzner,2022-06-01,2022-12-31,-34.79,,-246.97
Media storage - wasabi.com,2022-01-01,2022-12-31,-10.00,,-121.33
CN2 GIA mirror - BWH,2022-01-01,2022-12-31,,-49.99,-49.99
Domain expenses - o3o.ca,2022-01-02,2023-01-01,,-8.20,-8.20
Domain expenses - o3*.o**,2022-01-03,2023-01-02,,-3.00,-3.00
Domain expenses - o3*.c**,2022-01-04,2023-01-03,,-21.17,-21.17
Domain expenses - writ**.org,2022-01-05,2023-01-04,,-8.80,-8.80
Domain expenses - ong**.ca,2022-01-06,2023-01-05,,-8.20,-8.20
Domain expenses - masto***.**,2022-01-07,2023-01-06,,-9.99,-9.99
Domain expenses - o3*.st**,2022-01-08,2023-01-07,,-18.52,-18.52
Domain expenses - blogs.e**.**,2022-01-09,2023-01-08,,-4.00,-4.00
Domain expenses - social.e**.**,2022-01-10,2023-01-09,,-15.19,-15.19
"OVH Server for WP, Writefreely",2022-01-01,2022-12-31,,-17.88,-17.88
"Pastebin, RSS, server monitor etc.
 - Frantech, allocated",2022-01-01,2022-12-31,,-16.00,-16.00
Est. Total Expenses USD,,,,,-668.36
Est. USD/CAD FX,,,,,1.30
Est. Total Expenses CAD,,,,,-868.87
